"code","name","lat","long"
"1571","KOTA JAMBI",-1.6305014,103.60727
"1572","KOTA SUNGAI PENUH",-2.0709097,101.39608
"1601","KAB. OGAN KOMERING ULU",-4.16571,104.19777
"1602","KAB. OGAN KOMERING ILIR",-3.4116461,104.82302
"1603","KAB. MUARA ENIM",-3.6556304,103.77701
"1604","KAB. LAHAT",-3.7781858,103.55048
"1605","KAB. MUSI RAWAS",-3.2435076,103.01159
"1606","KAB. MUSI BANYUASIN",-2.8888428,103.840225
"1607","KAB. BANYUASIN",-2.9168115,104.40664
"1608","KAB. OGAN KOMERING ULU TIMUR",-4.3687806,104.358444
"1609","KAB. OGAN KOMERING ULU SELATAN",-4.5323243,104.09536
"1610","KAB. OGAN ILIR",-3.2605839,104.652534
"1611","KAB. EMPAT LAWANG",-3.6098437,103.10276
"1612","KAB. PENUKAL ABAB LEMATANG ILIR",-3.309874,103.88405
"1613","KAB. MUSI RAWAS UTARA",-2.7346895,102.90112
"1671","KOTA PALEMBANG",-2.9910462,104.75675
"1672","KOTA PAGAR ALAM",-4.0393214,103.19702
"1673","KOTA LUBUK LINGGAU",-3.3258417,102.825386
"1674","KOTA PRABUMULIH",-3.3689384,104.308426
"3217","KAB. BANDUNG BARAT",-6.8652215,107.491974
"3218","KAB. PANGANDARAN",-7.6150613,108.498825
"3271","KOTA BOGOR",-6.5950575,106.79411
"1701","KAB. BENGKULU SELATAN",-4.439935,102.8952
"1702","KAB. REJANG LEBONG",-3.477964,102.53188
"1703","KAB. BENGKULU UTARA",-3.436858,102.20179
"1704","KAB. KAUR",-4.7591105,103.3491
"1705","KAB. SELUMA",-4.07763,102.55625
"1706","KAB. MUKO MUKO",-2.5527632,101.10422
"1707","KAB. LEBONG",-3.1574485,102.182846
"1708","KAB. KEPAHIANG",-3.6251092,102.55634
"1709","KAB. BENGKULU TENGAH",-3.7728555,102.38999
"1771","KOTA BENGKULU",-3.792845,102.260765
"1801","KAB. LAMPUNG SELATAN",-5.717676,105.58535
"1802","KAB. LAMPUNG TENGAH",-4.9772468,105.210144
"1803","KAB. LAMPUNG UTARA",-4.8291903,104.88744
"1804","KAB. LAMPUNG BARAT",-5.018975,104.06076
"1805","KAB. TULANG BAWANG",-4.4949965,105.220215
"1806","KAB. TANGGAMUS",-5.4806747,104.6823
"1807","KAB. LAMPUNG TIMUR",-5.0481834,105.52825
"1808","KAB. WAY KANAN",-4.506182,104.511314
"1809","KAB. PESAWARAN",-5.397533,105.07011
"1810","KAB. PRINGSEWU",-5.344242,105.0064
"1811","KAB. MESUJI",-3.8731627,105.42788
"1812","KAB. TULANG BAWANG BARAT",-4.4994073,105.1199
"1813","KAB. PESISIR BARAT",-5.1884255,103.934586
"1871","KOTA BANDAR LAMPUNG",-5.4295793,105.262566
"1872","KOTA METRO",-5.113689,105.30691
"1901","KAB. BANGKA",-1.8873107,106.10483
"1902","KAB. BELITUNG",-2.7423084,107.65431
"1903","KAB. BANGKA SELATAN",-3.0197473,106.51175
"1971","KOTA PANGKAL PINANG",-2.1409795,106.11591
"2101","KAB. BINTAN",1.0867044,104.502144
"2102","KAB. KARIMUN",1.0329782,103.37578
"2103","KAB. NATUNA",3.923444,108.33693
"2104","KAB. LINGGA",-0.20999287,104.60466
"2105","KAB. KEPULAUAN ANAMBAS",3.214546,106.2487
"2171","KOTA BATAM",1.1287453,104.055336
"2172","KOTA TANJUNG PINANG",0.96534294,104.44099
"3101","KAB. ADM. KEP. SERIBU",-5.746481,106.61316
"3171","KOTA ADM. JAKARTA PUSAT",-6.172913,106.818695
"3172","KOTA ADM. JAKARTA UTARA",-6.1200285,106.892494
"3173","KOTA ADM. JAKARTA BARAT",-6.1843343,106.73662
"3174","KOTA ADM. JAKARTA SELATAN",-6.247775,106.80764
"3175","KOTA ADM. JAKARTA TIMUR",-6.2136855,106.94401
"3201","KAB. BOGOR",-6.479479,106.824715
"3202","KAB. SUKABUMI",-6.989165,106.550224
"3203","KAB. CIANJUR",-6.8227463,107.13948
"3272","KOTA SUKABUMI",-6.917619,106.931854
"3273","KOTA BANDUNG",-6.910656,107.60987
"3274","KOTA CIREBON",-6.706735,108.55825
"3275","KOTA BEKASI",-6.236014,106.99425
"3276","KOTA DEPOK",-6.394166,106.82269
"3277","KOTA CIMAHI",-6.870807,107.55516
"3278","KOTA TASIKMALAYA",-7.316053,108.197014
"3279","KOTA BANJAR",-7.362161,108.55959
"3301","KAB. CILACAP",-7.725599,109.00954
"3302","KAB. BANYUMAS",-7.422799,109.23008
"3303","KAB. PURBALINGGA",-7.3888144,109.364075
"3304","KAB. BANJARNEGARA",-7.395695,109.69607
"3305","KAB. KEBUMEN",-7.6684437,109.65372
"3306","KAB. PURWOREJO",-7.7139745,110.0083
"3307","KAB. WONOSOBO",-7.358331,109.90516
"3308","KAB. MAGELANG",-7.596984,110.22353
"3309","KAB. BOYOLALI",-7.545656,110.610596
"3310","KAB. KLATEN",-7.712385,110.59213
"3311","KAB. SUKOHARJO",-7.664599,110.83587
"3312","KAB. WONOGIRI",-7.815058,110.92568
"3313","KAB. KARANGANYAR",-7.595517,110.939644
"3314","KAB. SRAGEN",-7.426355,111.02318
"3315","KAB. GROBOGAN",-7.0820584,110.91737
"3316","KAB. BLORA",-6.9697185,111.414925
"3317","KAB. REMBANG",-6.703466,111.34262
"3318","KAB. PATI",-6.752227,111.03995
"3319","KAB. KUDUS",-6.8056517,110.84219
"3320","KAB. JEPARA",-6.5900946,110.66813
"3321","KAB. DEMAK",-6.8913546,110.63839
"3322","KAB. SEMARANG",-7.1289573,110.40409
"3323","KAB. TEMANGGUNG",-7.3153167,110.18189
"3324","KAB. KENDAL",-6.922837,110.20357
"3325","KAB. BATANG",-6.910711,109.72968
"3326","KAB. PEKALONGAN",-7.025036,109.59115
"3327","KAB. PEMALANG",-6.8931513,109.38072
"3328","KAB. TEGAL",-6.995408,109.12789
"3329","KAB. BREBES",-6.8701105,109.03921
"3371","KOTA MAGELANG",-7.5037107,110.22147
"3372","KOTA SURAKARTA",-7.5692606,110.82946
"6309","KAB. TABALONG",-2.164354,115.382355
"6310","KAB. TANAH BUMBU",-3.48324,115.946815
"3373","KOTA SALATIGA",-7.330437,110.50083
"3374","KOTA SEMARANG",-6.9816794,110.41223
"3375","KOTA PEKALONGAN",-6.89695,109.66208
"3376","KOTA TEGAL",-6.8704085,109.13741
"3401","KAB. KULON PROGO",-7.8578086,110.159164
"3402","KAB. BANTUL",-7.88619,110.327835
"3403","KAB. GUNUNGKIDUL",-7.96408,110.60154
"3404","KAB. SLEMAN",-7.7165465,110.355774
"6311","KAB. BALANGAN",-2.3635676,115.471085
"3471","KOTA YOGYAKARTA",-7.799905,110.39137
"3501","KAB. PACITAN",-8.194485,111.103165
"3502","KAB. PONOROGO",-7.870874,111.46255
"3503","KAB. TRENGGALEK",-8.04791,111.70915
"3504","KAB. TULUNGAGUNG",-8.064364,111.90068
"3505","KAB. BLITAR",-8.123931,112.21307
"3506","KAB. KEDIRI",-7.802165,112.041115
"3507","KAB. MALANG",-8.105459,112.57329
"3508","KAB. LUMAJANG",-8.135206,113.224396
"3509","KAB. JEMBER",-8.169671,113.70215
"3510","KAB. BANYUWANGI",-8.223037,114.36643
"3511","KAB. BONDOWOSO",-7.9144444,113.82185
"3512","KAB. SITUBONDO",-7.7073407,114.00178
"3513","KAB. PROBOLINGGO",-7.761819,113.41597
"3514","KAB. PASURUAN",-7.6490126,112.90516
"3515","KAB. SIDOARJO",-7.447173,112.71808
"3516","KAB. MOJOKERTO",-7.4628444,112.43342
"3517","KAB. JOMBANG",-7.556402,112.23461
"3518","KAB. NGANJUK",-7.601983,111.90189
"3519","KAB. MADIUN",-7.538541,111.65348
"3520","KAB. MAGETAN",-7.6561575,111.32927
"3521","KAB. NGAWI",-7.401286,111.44544
"3522","KAB. BOJONEGORO",-7.1499352,111.881546
"3523","KAB. TUBAN",-6.8961043,112.06506
"3524","KAB. LAMONGAN",-7.1210346,112.415436
"3525","KAB. GRESIK",-7.1705875,112.59968
"3526","KAB. BANGKALAN",-7.0463924,112.73707
"3527","KAB. SAMPANG",-7.1875353,113.23734
"3528","KAB. PAMEKASAN",-7.156884,113.471886
"3529","KAB. SUMENEP",-7.0140333,113.863525
"3571","KOTA KEDIRI",-7.8121943,112.01428
"3572","KOTA BLITAR",-8.0991745,112.16455
"3573","KOTA MALANG",-7.977788,112.633835
"3574","KOTA PROBOLINGGO",-7.753678,113.21424
"3575","KOTA PASURUAN",-7.647371,112.908554
"3576","KOTA MOJOKERTO",-7.4628153,112.43345
"3577","KOTA MADIUN",-7.624397,111.52065
"3578","KOTA SURABAYA",-7.258891,112.74704
"7108","KAB. BOLAANG MONGONDOW UTARA",0.90645677,123.25905
"7109","KAB. KEP. SIAU TAGULANDANG BIARO",2.744597,125.36229
"3579","KOTA BATU",-7.862516,112.51335
"3601","KAB. PANDEGLANG",-6.3168554,106.11479
"3602","KAB. LEBAK",-6.360767,106.246185
"3604","KAB. SERANG",-6.1153026,106.152016
"3671","KOTA TANGERANG",-6.1643615,106.64107
"3672","KOTA CILEGON",-6.009809,106.04213
"3673","KOTA SERANG",-6.1196976,106.17346
"3674","KOTA TANGERANG SELATAN",-6.321568,106.70774
"5101","KAB. JEMBRANA",-8.357301,114.6369
"5102","KAB. TABANAN",-8.539497,115.131035
"5103","KAB. BADUNG",-8.601921,115.179146
"5104","KAB. GIANYAR",-8.540852,115.32411
"5105","KAB. KLUNGKUNG",-8.534402,115.40298
"5106","KAB. BANGLI",-8.461762,115.35248
"5107","KAB. KARANGASEM",-8.438847,115.612236
"5108","KAB. BULELENG",-8.12516,115.09285
"5171","KOTA DENPASAR",-8.654459,115.21653
"5201","KAB. LOMBOK BARAT",-8.6813965,116.1367
"5202","KAB. LOMBOK TENGAH",-8.706132,116.270035
